,count,avg_duration,avg_events,avg_ram,peak_hour,dominant_category,category_strength,label
0,4,17.69327265,10.25,1278.6088419913422,10,search,0.8463203463203464,Medium Search Session (Moderate RAM)
1,3,18.81107852222222,32.333333333333336,815.0320939933259,3,learning,0.875,Medium Learning Session (Moderate RAM)
2,2,0.3552868666666667,4.0,831.5007142857144,5,entertainment,0.7857142857142857,Short Entertainment Session (Moderate RAM)
3,2,24.142613791666665,29.5,796.6848390151515,6,learning,0.4043560606060606,Medium Learning Session (Light RAM)
4,1,27.941649516666665,77.0,1307.8493506493508,14,learning,0.5974025974025974,Long Learning Session (Heavy RAM)
5,4,10.432177062500001,31.25,1309.4375186972443,13,learning,0.8444870283018868,Medium Learning Session (Heavy RAM)
6,1,0.0,1.0,1424.23,11,ai_assistant,1.0,Short Ai_assistant Session (Heavy RAM)
7,2,14.856944916666667,18.0,1046.1179166666666,4,media,0.4375,Medium Media Session (Moderate RAM)
8,3,61.67132561666667,135.33333333333334,797.6347905131046,2,learning,0.6978179730117714,Long Learning Session (Light RAM)
